BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr4	120080000	120090000	chr4	120220000	120230000	0.0012098056419976853	2.111212657236631
chr4	123840000	123850000	chr4	124560000	124570000	0.0028127489426633674	2.599207668339954
chr4	124830000	124840000	chr4	124940000	124950000	0.0057007642970747785	2.111212657236631
chr4	135230000	135240000	chr4	135390000	135400000	0.0009532792162941227	2.111212657236631
chr4	136400000	136410000	chr4	136570000	136580000	0.0008003779347280915	2.599207668339954
chr4	136800000	136810000	chr4	137020000	137030000	0.009655861313530606	2.599207668339954
chr4	141130000	141140000	chr4	141300000	141310000	0.009655861313530606	2.599207668339954
chr4	149880000	149890000	chr4	150050000	150060000	0.007405060261165089	2.111212657236631
chr4	155180000	155190000	chr4	155320000	155330000	0.0017081377721172688	2.111212657236631
chr5	26140000	26150000	chr5	26310000	26320000	1.156021153059239e-05	2.111212657236631
chr5	26240000	26250000	chr5	26470000	26480000	0.004261086670382782	2.111212657236631
chr5	35750000	35760000	chr5	35850000	35860000	0.003508596897348134	2.111212657236631
chr5	66850000	66860000	chr5	67160000	67170000	6.743312401419344e-05	2.111212657236631
chr5	73580000	73590000	chr5	73780000	73790000	0.007553033052617897	2.111212657236631
chr5	93640000	93650000	chr5	93980000	93990000	0.00013696756737435756	2.111212657236631
chr5	93680000	93690000	chr5	93940000	93950000	2.8138057328819244e-05	2.111212657236631
chr5	98490000	98500000	chr5	99010000	99020000	0.0019233917246385495	2.111212657236631
chr5	100220000	100230000	chr5	100460000	100470000	0.003253759102957021	2.599207668339954
chr5	103500000	103510000	chr5	103690000	103700000	0.006110563390940476	2.111212657236631
chr5	107130000	107140000	chr5	107450000	107460000	0.0019233917246385495	2.111212657236631
chr5	111550000	111560000	chr5	112300000	112310000	0.0055167337749643846	2.111212657236631
chr5	113510000	113520000	chr5	113850000	113860000	0.0077978036765522065	2.111212657236631
chr5	117640000	117650000	chr5	118080000	118090000	0.0055167337749643846	2.599207668339954
chr5	119910000	119920000	chr5	120220000	120230000	0.0055167337749643846	2.111212657236631
chr5	124980000	124990000	chr5	125340000	125350000	0.0077978036765522065	2.599207668339954
chr5	146630000	146640000	chr5	146830000	146840000	0.0016323546206150619	2.111212657236631
chr5	146850000	146860000	chr5	147250000	147260000	0.004620274517643704	2.111212657236631
chr6	34490000	34500000	chr6	34730000	34740000	0.002363949508163543	2.111212657236631
chr6	50280000	50290000	chr6	50500000	50510000	0.005654612907465134	2.111212657236631
chr6	50650000	50660000	chr6	50770000	50780000	0.007791961540931314	2.111212657236631
chr6	51170000	51180000	chr6	51830000	51840000	0.00909870752799656	2.111212657236631
chr6	51180000	51190000	chr6	51550000	51560000	0.0004653251583405793	2.111212657236631
chr6	51850000	51860000	chr6	52170000	52180000	0.00909870752799656	2.599207668339954
chr6	55360000	55370000	chr6	55470000	55480000	0.00909870752799656	2.111212657236631
chr6	71900000	71910000	chr6	72130000	72140000	0.005352334196231823	2.111212657236631
chr6	72400000	72410000	chr6	72520000	72530000	0.005534417858598317	2.111212657236631
chr6	91880000	91890000	chr6	92040000	92050000	0.008189702230919822	2.111212657236631
chr6	94510000	94520000	chr6	94950000	94960000	0.0011916509406179054	2.111212657236631
chr6	103270000	103280000	chr6	103660000	103670000	0.0011916509406179054	2.111212657236631
chr6	112180000	112190000	chr6	112340000	112350000	0.0002949287991000915	2.111212657236631
chr6	114490000	114500000	chr6	114590000	114600000	3.2512517122995632e-09	2.111212657236631
chr6	118160000	118170000	chr6	118350000	118360000	0.0027845056481460516	2.111212657236631
chr6	126540000	126550000	chr6	126670000	126680000	0.003927842072799694	2.111212657236631
chr6	133940000	133950000	chr6	134360000	134370000	0.007358992955389776	2.599207668339954
chr6	134400000	134410000	chr6	134590000	134600000	0.00964221054329068	2.111212657236631
chr6	135220000	135230000	chr6	135350000	135360000	0.005983420395355821	2.111212657236631
chr6	142470000	142480000	chr6	142670000	142680000	0.0009864912286087213	2.599207668339954
chr6	146730000	146740000	chr6	146870000	146880000	0.0059804411202392105	2.111212657236631
chr7	34110000	34120000	chr7	34360000	34370000	0.0012083923419203835	2.111212657236631
chr7	46040000	46050000	chr7	46250000	46260000	0.00028450476961633386	2.111212657236631
chr7	48550000	48560000	chr7	48760000	48770000	0.001595315217009568	2.111212657236631
chr7	49260000	49270000	chr7	49400000	49410000	0.0072024074172638685	2.111212657236631
chr7	59010000	59020000	chr7	59250000	59260000	0.00010292101275194421	2.111212657236631
chr7	59360000	59370000	chr7	59530000	59540000	0.00010292101275194421	2.111212657236631
chr7	61870000	61880000	chr7	62030000	62040000	0.0025416917826113217	2.599207668339954
chr7	62570000	62580000	chr7	62970000	62980000	0.0025416917826113217	2.111212657236631
chr7	65350000	65360000	chr7	65690000	65700000	0.006762658331361115	2.599207668339954
chr7	65760000	65770000	chr7	65930000	65940000	0.0032703765241526295	2.111212657236631
chr7	68220000	68230000	chr7	68470000	68480000	0.00381688198595502	2.111212657236631
chr7	72050000	72060000	chr7	73030000	73040000	0.00381688198595502	2.111212657236631
chr7	74780000	74790000	chr7	75010000	75020000	0.0007573078781875076	2.111212657236631
chr7	75390000	75400000	chr7	75520000	75530000	0.007785950812918552	2.111212657236631
chr7	78570000	78580000	chr7	78730000	78740000	0.0007573078781875076	2.111212657236631
chr7	79440000	79450000	chr7	79560000	79570000	0.0035902213137861683	2.111212657236631
chr7	80030000	80040000	chr7	80230000	80240000	0.003726524298856066	2.111212657236631
chr7	81610000	81620000	chr7	81910000	81920000	0.0007573078781875076	2.111212657236631
chr7	81770000	81780000	chr7	81910000	81920000	0.001114522492069725	2.111212657236631
chr7	88810000	88820000	chr7	89060000	89070000	0.0027589081691365793	2.111212657236631
chr7	89640000	89650000	chr7	89790000	89800000	0.009117981547722698	2.111212657236631
chr7	97390000	97400000	chr7	97620000	97630000	0.00033237304446043225	2.111212657236631
chr7	99280000	99290000	chr7	99440000	99450000	0.005573389917965521	2.111212657236631
chr7	101910000	101920000	chr7	102060000	102070000	0.004048040339950099	2.111212657236631
chr7	111990000	112000000	chr7	112460000	112470000	0.00565452241915948	2.111212657236631
chr7	113350000	113360000	chr7	113610000	113620000	0.00565452241915948	2.111212657236631
chr7	121850000	121860000	chr7	122050000	122060000	0.00565452241915948	2.111212657236631
chr7	122070000	122080000	chr7	122520000	122530000	0.0074919402032112	2.599207668339954
chr7	126430000	126440000	chr7	126700000	126710000	0.00565452241915948	2.111212657236631
chr7	128060000	128070000	chr7	128280000	128290000	0.00391541897320101	3.6758347359905126
chr7	129240000	129250000	chr7	130080000	130090000	0.009435176506084941	2.599207668339954
chr7	140510000	140520000	chr7	140620000	140630000	0.0033933394455719157	2.111212657236631
chr7	141880000	141890000	chr7	141980000	141990000	0.006083416490005432	2.111212657236631
chr7	142700000	142710000	chr7	143020000	143030000	0.0033933394455719157	2.111212657236631
chr7	143770000	143780000	chr7	143970000	143980000	0.00602217199516808	2.111212657236631
chr7	144140000	144150000	chr7	144320000	144330000	0.0033933394455719157	2.111212657236631
chr7	144490000	144500000	chr7	144780000	144790000	0.0033933394455719157	2.111212657236631
chr8	25760000	25770000	chr8	26060000	26070000	0.004968239100888172	2.111212657236631
chr8	34640000	34650000	chr8	35290000	35300000	0.005509861984312803	2.111212657236631
chr8	45520000	45530000	chr8	45680000	45690000	0.0019987569323032693	2.111212657236631
chr8	47450000	47460000	chr8	47810000	47820000	0.0086725756157561	4.222425314473262
chr8	48320000	48330000	chr8	48460000	48470000	0.007959559211225486	2.111212657236631
chr8	58000000	58010000	chr8	58240000	58250000	0.003029659384996164	2.599207668339954
chr8	61990000	62000000	chr8	62320000	62330000	0.006172987302354382	2.111212657236631
chr8	69290000	69300000	chr8	69460000	69470000	0.0033763898608276982	3.2
chr8	69560000	69570000	chr8	69650000	69660000	0.009673206487253484	2.111212657236631
chr8	85420000	85430000	chr8	85530000	85540000	0.000895449462607667	2.111212657236631
chr8	93770000	93780000	chr8	94140000	94150000	0.004287151966954357	3.2
chr8	107150000	107160000	chr8	107260000	107270000	0.004287151966954357	2.111212657236631
chr8	107440000	107450000	chr8	107610000	107620000	0.005096067916356473	2.599207668339954
chr8	107840000	107850000	chr8	108040000	108050000	0.004287151966954357	2.599207668339954
chr8	114390000	114400000	chr8	114700000	114710000	0.00762695352965718	2.111212657236631
chr8	114810000	114820000	chr8	115090000	115100000	0.008860645544857803	2.111212657236631
chr8	120670000	120680000	chr8	120800000	120810000	0.009605907828218532	2.111212657236631
chr8	121410000	121420000	chr8	121510000	121520000	0.008326875080016977	2.111212657236631
chr8	121540000	121550000	chr8	121810000	121820000	0.00762695352965718	2.111212657236631
chr8	121840000	121850000	chr8	122240000	122250000	0.0010240380298325302	2.111212657236631
chr8	122700000	122710000	chr8	122980000	122990000	0.008326875080016977	2.111212657236631
chr8	124370000	124380000	chr8	124490000	124500000	0.00762695352965718	2.111212657236631
chr8	124650000	124660000	chr8	125080000	125090000	0.008326875080016977	2.111212657236631
chr8	124770000	124780000	chr8	125070000	125080000	0.0030756159840242604	3.2
chr8	126300000	126310000	chr8	126580000	126590000	0.003673888827553873	2.111212657236631
chr8	127220000	127230000	chr8	127640000	127650000	0.0027603415007712386	2.111212657236631
chr9	30380000	30390000	chr9	30850000	30860000	0.0006168004624496071	2.111212657236631
chr9	31470000	31480000	chr9	31830000	31840000	0.004869561343161244	2.111212657236631
chr9	32490000	32500000	chr9	32990000	33000000	0.006012663011232266	2.111212657236631
chr9	35190000	35200000	chr9	35440000	35450000	0.004869561343161244	2.111212657236631
chr9	57940000	57950000	chr9	58110000	58120000	0.005492444625489146	2.111212657236631
chr9	58910000	58920000	chr9	59180000	59190000	0.004350845119944657	2.599207668339954
chr9	70020000	70030000	chr9	70300000	70310000	0.009942627813484095	2.111212657236631
chr9	71550000	71560000	chr9	71700000	71710000	0.009942627813484095	2.599207668339954
chr9	77710000	77720000	chr9	77930000	77940000	0.0016745703321712766	2.111212657236631
chr9	79700000	79710000	chr9	79910000	79920000	0.00462728516002614	2.111212657236631
chr9	85660000	85670000	chr9	86320000	86330000	0.005755729166511173	2.111212657236631
chr9	86910000	86920000	chr9	87110000	87120000	0.00462728516002614	2.111212657236631
chr9	98520000	98530000	chr9	98690000	98700000	0.005812264050037291	2.111212657236631
chr9	99730000	99740000	chr9	100270000	100280000	0.005812264050037291	2.111212657236631
chr9	103370000	103380000	chr9	103630000	103640000	0.004359586276173888	2.111212657236631
chr9	107240000	107250000	chr9	107380000	107390000	0.004359586276173888	2.111212657236631
chr9	111330000	111340000	chr9	111730000	111740000	0.0016091972466232285	2.599207668339954
chr9	118430000	118440000	chr9	118710000	118720000	0.004687732896247132	2.111212657236631
chr10	24060000	24070000	chr10	24170000	24180000	0.0054490916508248555	2.111212657236631
chr10	25140000	25150000	chr10	25350000	25360000	0.0054490916508248555	2.599207668339954
chr10	26580000	26590000	chr10	26760000	26770000	0.0054490916508248555	2.111212657236631
chr10	53230000	53240000	chr10	53380000	53390000	0.0006282780836597279	2.599207668339954
chr10	61030000	61040000	chr10	61160000	61170000	0.0036436842080300735	2.111212657236631
chr10	69290000	69300000	chr10	69480000	69490000	0.0031775603495227678	2.111212657236631
chr10	76450000	76460000	chr10	76560000	76570000	0.007180184224823804	2.111212657236631
chr10	89290000	89300000	chr10	89460000	89470000	0.002769404456960278	2.111212657236631
chr10	111330000	111340000	chr10	111780000	111790000	0.005305298787757317	2.599207668339954
chr10	120080000	120090000	chr10	120700000	120710000	0.0015237883030122523	2.111212657236631
chr10	122640000	122650000	chr10	122830000	122840000	0.0019541734256458554	2.111212657236631
chr10	126750000	126760000	chr10	126870000	126880000	0.0044568306170556515	2.111212657236631
chr10	127570000	127580000	chr10	127770000	127780000	0.0015886487256540074	2.111212657236631
chr11	4200000	4210000	chr11	4360000	4370000	4.8141412180791037e-05	2.599207668339954
chr11	20400000	20410000	chr11	20630000	20640000	0.003912594995233424	3.6758347359905126
chr11	22170000	22180000	chr11	22560000	22570000	0.00015152401348472733	2.111212657236631
chr11	31200000	31210000	chr11	31580000	31590000	0.003912594995233424	2.599207668339954
chr11	31630000	31640000	chr11	31900000	31910000	0.006163457162303598	2.599207668339954
chr11	33680000	33690000	chr11	33860000	33870000	0.0012550135611916202	2.111212657236631
chr11	43660000	43670000	chr11	44220000	44230000	0.004861249946794636	2.111212657236631
chr11	51180000	51190000	chr11	51430000	51440000	0.0014100869405481165	2.111212657236631
chr11	55090000	55100000	chr11	55260000	55270000	0.004861249946794636	2.111212657236631
chr11	60470000	60480000	chr11	60560000	60570000	8.529691292169517e-07	2.111212657236631
chr11	62800000	62810000	chr11	63020000	63030000	0.00029064516060645085	2.111212657236631
chr11	67000000	67010000	chr11	67240000	67250000	0.0009605437075688728	2.111212657236631
chr11	67890000	67900000	chr11	68290000	68300000	0.007684055144199986	2.599207668339954
chr11	74830000	74840000	chr11	75050000	75060000	0.007359714499521108	2.599207668339954
chr11	74870000	74880000	chr11	75040000	75050000	0.007363492504057767	2.111212657236631
chr11	75660000	75670000	chr11	76050000	76060000	0.00385989983014505	2.599207668339954
chr11	76150000	76160000	chr11	76280000	76290000	0.0032582878991560538	2.599207668339954
chr11	78920000	78930000	chr11	79090000	79100000	0.003342702039749385	2.111212657236631
chr11	79590000	79600000	chr11	79810000	79820000	0.003342702039749385	2.111212657236631
chr11	81880000	81890000	chr11	82060000	82070000	0.0032582878991560538	2.111212657236631
chr11	84150000	84160000	chr11	84690000	84700000	0.003342702039749385	2.599207668339954
chr11	88110000	88120000	chr11	88710000	88720000	0.005292399412324278	2.111212657236631
chr11	109770000	109780000	chr11	110160000	110170000	0.000848703564554909	2.111212657236631
chr12	8380000	8390000	chr12	8530000	8540000	0.006990711044540104	3.2
chr12	12470000	12480000	chr12	12980000	12990000	0.00918486680309305	2.111212657236631
chr12	15860000	15870000	chr12	16570000	16580000	0.008347657625482618	2.599207668339954
chr12	69400000	69410000	chr12	69630000	69640000	0.005795848810362436	2.599207668339954
chr12	71810000	71820000	chr12	72090000	72100000	0.00989155851246708	2.111212657236631
chr12	73080000	73090000	chr12	73560000	73570000	0.0005030252265180168	2.111212657236631
chr12	73760000	73770000	chr12	73950000	73960000	0.00989155851246708	2.599207668339954
chr12	73740000	73750000	chr12	74040000	74050000	0.006947136224670081	2.599207668339954
chr12	80240000	80250000	chr12	80420000	80430000	0.009588969239588536	2.111212657236631
chr12	80810000	80820000	chr12	80930000	80940000	0.009588969239588536	2.111212657236631
chr12	81840000	81850000	chr12	81960000	81970000	0.009588969239588536	2.111212657236631
chr12	85190000	85200000	chr12	85350000	85360000	0.009588969239588536	2.111212657236631
chr12	85400000	85410000	chr12	85520000	85530000	0.006947136224670081	2.111212657236631
chr12	91600000	91610000	chr12	91760000	91770000	0.008466113601606762	2.111212657236631
chr12	108310000	108320000	chr12	108460000	108470000	0.009804660990290204	2.599207668339954
chr12	117370000	117380000	chr12	117720000	117730000	0.00025259886475670346	2.111212657236631
chr13	3710000	3720000	chr13	3930000	3940000	0.003629407698114586	3.2
chr13	19550000	19560000	chr13	19820000	19830000	0.0024077587341660585	3.2
chr13	41440000	41450000	chr13	41720000	41730000	0.003577660232898274	2.111212657236631
chr13	53270000	53280000	chr13	53500000	53510000	0.008227551172945897	2.599207668339954
chr13	54400000	54410000	chr13	54590000	54600000	0.003577660232898274	2.111212657236631
chr13	55550000	55560000	chr13	55670000	55680000	0.003577660232898274	2.111212657236631
chr13	56430000	56440000	chr13	56570000	56580000	0.0022357104499030056	2.599207668339954
chr13	56960000	56970000	chr13	57400000	57410000	0.0001303630776096909	2.111212657236631
chr13	60000000	60010000	chr13	60600000	60610000	0.0024166559718369826	2.599207668339954
chr13	68100000	68110000	chr13	68380000	68390000	6.90338317314391e-05	2.111212657236631
chr13	92050000	92060000	chr13	92460000	92470000	0.00521643281837747	2.111212657236631
chr13	97370000	97380000	chr13	98070000	98080000	0.00521643281837747	2.111212657236631
chr13	99500000	99510000	chr13	99980000	99990000	0.00521643281837747	2.599207668339954
chr13	111920000	111930000	chr13	112390000	112400000	0.00021476823083164755	2.111212657236631
chr13	113470000	113480000	chr13	113750000	113760000	0.0014501855615835315	2.111212657236631
chr13	118530000	118540000	chr13	119480000	119490000	0.005015605310307681	2.599207668339954
chr14	15040000	15050000	chr14	16910000	16920000	2.2434948341087946e-05	2.111212657236631
chr14	15760000	15770000	chr14	17260000	17270000	7.1197718181093e-06	2.111212657236631
chr14	18750000	18760000	chr14	18980000	18990000	0.0004330158517095173	2.111212657236631
chr14	23630000	23640000	chr14	24050000	24060000	0.004746311871076791	2.111212657236631
chr14	33410000	33420000	chr14	33640000	33650000	0.0012776328406570354	2.599207668339954
chr14	49470000	49480000	chr14	49960000	49970000	0.005902737696244468	2.111212657236631
chr14	59840000	59850000	chr14	60250000	60260000	0.001437324176470097	2.111212657236631
chr14	59850000	59860000	chr14	60180000	60190000	0.0019258416062764017	2.111212657236631
chr14	60760000	60770000	chr14	60920000	60930000	0.007120675596129659	3.2
chr14	61030000	61040000	chr14	61340000	61350000	0.008889221086118077	2.111212657236631
chr14	63300000	63310000	chr14	63610000	63620000	0.0012906511766803686	2.111212657236631
chr14	64120000	64130000	chr14	64280000	64290000	1.6525180249971072e-05	2.111212657236631
chr14	65650000	65660000	chr14	65800000	65810000	0.007120675596129659	2.111212657236631
chr14	66090000	66100000	chr14	66210000	66220000	0.009122201776244409	2.111212657236631
chr14	66610000	66620000	chr14	67020000	67030000	0.009122201776244409	2.599207668339954
chr14	67280000	67290000	chr14	67420000	67430000	0.009122201776244409	2.599207668339954
chr14	67470000	67480000	chr14	67840000	67850000	0.009122201776244409	2.111212657236631
chr14	70090000	70100000	chr14	70360000	70370000	0.002028115660627971	2.111212657236631
chr14	76120000	76130000	chr14	76310000	76320000	0.002891097151415778	2.111212657236631
chr14	76720000	76730000	chr14	77250000	77260000	0.0010715692229532614	2.111212657236631
chr14	79360000	79370000	chr14	79550000	79560000	0.00276916424201068	2.111212657236631
chr15	25440000	25450000	chr15	25710000	25720000	0.006760076576504959	2.599207668339954
chr15	27320000	27330000	chr15	27600000	27610000	0.006760076576504959	2.111212657236631
chr15	27910000	27920000	chr15	28170000	28180000	0.006760076576504959	2.111212657236631
chr15	31310000	31320000	chr15	31430000	31440000	0.006760076576504959	2.111212657236631
chr15	39730000	39740000	chr15	39990000	40000000	0.0034835516473123718	2.111212657236631
chr15	52990000	53000000	chr15	53190000	53200000	0.006841099723681521	2.111212657236631
chr15	54970000	54980000	chr15	55140000	55150000	0.000879963814026774	2.111212657236631
chr15	66550000	66560000	chr15	66760000	66770000	0.004885643039943607	2.599207668339954
chr15	66780000	66790000	chr15	66970000	66980000	0.004885643039943607	2.111212657236631
chr15	71350000	71360000	chr15	71750000	71760000	0.004885643039943607	2.599207668339954
chr15	71790000	71800000	chr15	71920000	71930000	0.003973674849661435	2.111212657236631
chr15	80160000	80170000	chr15	80570000	80580000	0.0009545526823053763	2.111212657236631
chr15	84090000	84100000	chr15	84500000	84510000	0.0009545526823053763	2.599207668339954
chr15	85780000	85790000	chr15	85920000	85930000	0.005718302699833089	2.111212657236631
chr15	87500000	87510000	chr15	88120000	88130000	0.006138994095080896	2.111212657236631
chr15	102910000	102920000	chr15	103060000	103070000	0.0072691108022838735	3.2
chr16	18250000	18260000	chr16	18430000	18440000	0.0007463192565269061	2.111212657236631
chr16	23360000	23370000	chr16	23710000	23720000	0.007935622457836264	2.111212657236631
chr16	91730000	91740000	chr16	92080000	92090000	0.0041155665176255685	2.111212657236631
chr17	5490000	5500000	chr17	5790000	5800000	0.0034077389571785283	2.599207668339954
chr17	8680000	8690000	chr17	8800000	8810000	0.0054326482239826475	2.111212657236631
chr17	8830000	8840000	chr17	9150000	9160000	0.00032110830093612375	2.111212657236631
chr17	14750000	14760000	chr17	15120000	15130000	0.0034077389571785283	2.111212657236631
chr17	26680000	26690000	chr17	26860000	26870000	0.004255833932654792	2.111212657236631
chr17	31900000	31910000	chr17	32250000	32260000	0.002130145820450147	2.111212657236631
chr17	46040000	46050000	chr17	46430000	46440000	0.0016238925793687167	2.111212657236631
chr17	50260000	50270000	chr17	50530000	50540000	0.0013385557097168599	2.599207668339954
chr17	56660000	56670000	chr17	56870000	56880000	0.005323132857660173	2.111212657236631
chr17	83350000	83360000	chr17	83530000	83540000	0.008514267446395052	3.2
chr17	86470000	86480000	chr17	86750000	86760000	0.008157853260996273	2.111212657236631
chr17	86790000	86800000	chr17	87210000	87220000	0.0024117191179298114	2.111212657236631
chr18	39080000	39090000	chr18	39220000	39230000	0.0021254554136290738	2.111212657236631
chr18	46740000	46750000	chr18	46860000	46870000	0.004088441459021985	2.111212657236631
chr18	56740000	56750000	chr18	56850000	56860000	0.007366055368841967	2.111212657236631
chr18	58330000	58340000	chr18	58600000	58610000	0.007878712154063928	2.599207668339954
chr18	61440000	61450000	chr18	61620000	61630000	0.007366055368841967	2.111212657236631
chr18	62810000	62820000	chr18	63100000	63110000	0.007366055368841967	2.599207668339954
chr18	63270000	63280000	chr18	63520000	63530000	0.008113170065690394	2.111212657236631
